sample,likelihood,posterior,coal_rate_1,coal_rate_2,coal_rate_3,backward_migration_rate_2_1,backward_migration_rate_3_1,backward_migration_rate_1_2,backward_migration_rate_3_2,backward_migration_rate_1_3,backward_migration_rate_2_3,st_radius
0,-23.50669,-14.95492,0.3531065,0.7560627,2.113898,0.1884049,0.0283569,0.008439662,0.003809131,0.02129898,0.0202835,0.7721489
100,-24.75491,-12.6001,0.2465856,0.3859917,2.768565,0.01994707,0.004102013,0.001967706,0.003348904,0.06458258,0.05395133,4.373143
200,-25.16469,-9.973799,0.496609,0.8341346,0.923591,0.01389314,0.001906972,0.006967216,0.001025384,0.04051875,0.0419517,5.692811
300,-27.03622,-14.88091,0.5798948,0.3712707,0.1108762,0.01477849,0.01058192,0.01171652,0.03553362,0.07870058,0.1079496,4.787903
400,-23.4336,-11.07723,0.516336,0.6490787,0.338062,0.06718143,0.02525873,0.02606901,0.01181903,0.07921776,0.02232221,5.378007
500,-26.12926,-14.49089,0.3569984,0.5630808,0.5072313,0.007462368,0.01271027,0.01546162,0.01153856,0.09992095,0.1111612,5.475519
600,-26.1942,-15.99352,0.43438,0.6907072,0.06202991,0.02753288,0.1028935,0.02703233,0.1141781,0.007535367,0.03609333,5.737727
700,-26.94882,-16.98461,0.6688077,0.4255031,0.5533075,0.009339355,0.002851492,0.1353112,0.08135622,0.007508814,0.06446775,8.810602
800,-26.4358,-14.06652,0.8453815,0.4897966,0.2797244,0.005981021,0.07826963,0.05685396,0.07053244,0.004445655,0.01007082,6.903923
900,-40.82535,-28.66441,0.2454038,1.319164,0.2780892,0.02310784,0.09164656,0.06658588,0.007325817,0.01573783,0.01750891,5.864491
1000,-25.76548,-15.2351,0.9354315,0.6317854,0.2857054,0.004105707,0.04804181,0.05172496,0.005700241,0.159332,0.004207461,5.297269
1100,-31.9128,-21.5783,1.230835,0.3437547,0.8674439,0.04586342,0.02180906,0.05014581,0.004517708,0.0193019,0.1096327,5.533542
1200,-26.30468,-10.8428,0.1844229,0.7705967,0.2399164,0.01901172,0.02068443,0.02115253,0.01500691,0.0435825,0.02867807,5.09559
1300,-23.96638,-13.43088,0.1333855,0.3408546,1.698789,0.1229627,0.01347681,0.01196524,0.03469467,0.06505035,0.009558089,5.574442
1400,-25.25407,-13.83571,0.2651857,0.794767,0.8508596,0.05875638,0.03671935,0.0155805,0.03453101,0.02771151,0.06890826,5.13899
1500,-26.43633,-13.56343,0.5932013,0.4702481,1.064047,0.004968307,0.03364425,0.09058741,0.02282807,0.03252,0.001233622,7.420523
1600,-30.6516,-18.14279,0.4439608,0.3497891,0.217151,0.0684817,0.04981304,0.07030452,0.01361081,0.01803934,0.03024065,6.314632
1700,-23.74786,-12.28565,0.7593851,0.6275525,0.3488936,0.05657207,0.01126108,0.06792246,0.005499129,0.07971784,0.02817639,5.939529
1800,-25.84336,-9.637028,0.4688772,0.4732275,0.4477956,0.02668236,0.007744634,0.01702657,0.009844938,0.03179934,0.02213654,5.237222
1900,-22.48602,-8.649855,0.4423226,0.7995641,1.856837,0.05546502,0.004108208,0.004093061,0.01035813,0.02801041,0.006966717,5.232417
2000,-23.42454,-14.66806,0.2458869,1.059418,1.345077,0.04051171,0.05670403,0.01203979,0.04551248,0.1226807,0.01392356,5.248445
2100,-24.16485,-14.17093,0.1087268,0.3145475,3.48334,0.05343569,0.03955007,0.008550516,0.03220323,0.02745995,0.03113099,5.286606
2200,-26.38437,-10.87501,0.4814385,0.3291205,0.8960464,0.04608123,0.01340501,0.009861713,0.001718852,0.04443664,0.006744543,5.302667
2300,-24.7103,-12.70194,0.4464754,0.5713417,0.6516911,0.004381472,0.001984549,0.08198704,0.04113586,0.03601618,0.06948909,4.85435
2400,-24.85789,-12.30182,0.3196547,0.6244633,1.136821,0.02550909,0.02633312,0.03296956,0.01618297,0.08779522,0.009251783,4.615065
2500,-26.90218,-13.9956,0.7020699,0.4955426,1.229291,0.03432205,0.005550042,0.03086266,0.03093724,0.04431843,0.024467,4.954772
2600,-59.38761,-46.33771,0.3976711,0.65484,0.007471037,0.009111542,0.0006260231,0.02372727,0.07819639,0.06164567,0.05769382,5.520552
2700,-29.90362,-15.01861,0.9428074,0.7051528,0.116619,0.007590078,0.02832918,0.01621389,0.009975456,0.01505983,0.06211081,7.18474
2800,-31.97565,-16.29706,0.1076782,0.1567637,1.086855,0.001313271,0.05043633,0.00628564,0.04782372,0.02130789,0.006634664,7.051389
2900,-21.65072,-15.21033,0.2756811,0.6841675,1.811655,0.004177655,0.05658619,0.07457717,0.07799447,0.08772757,0.05796073,6.167536
3000,-30.39581,-22.33714,0.0596157,0.5274714,2.177147,0.001148425,0.04385314,0.08940456,0.02805227,0.04856057,0.09705246,5.750916
3100,-26.60883,-10.92057,0.1567522,0.8797634,0.1760287,0.00775467,0.01520451,0.02352053,0.00461647,0.07157452,0.0174312,5.816534
3200,-27.45882,-16.20803,0.6407499,1.511148,1.468433,0.03119258,0.01991476,0.008786588,0.03241868,0.01922935,0.05457792,5.9374
3300,-24.54477,-13.83143,0.2417385,0.4415153,1.035472,0.05643456,0.05065154,0.002215008,0.01188052,0.1152046,0.03731598,5.537525
