sample,likelihood,posterior,coal_rate_1,coal_rate_2,coal_rate_3,backward_migration_rate_2_1,backward_migration_rate_3_1,backward_migration_rate_1_2,backward_migration_rate_3_2,backward_migration_rate_1_3,backward_migration_rate_2_3,st_radius
0,-28.36991,-17.39896,1.137551,0.1855492,1.843105,0.06334137,0.002023831,0.02970323,0.01640369,0.05036196,0.03477982,4.126102
100,-32.18479,-17.90281,1.515396,0.4095298,1.235792,0.02240142,0.01010615,0.01363368,0.009728592,0.02492061,0.01112704,24.84081
200,-31.50767,-17.25477,0.6680921,0.3333752,1.013152,0.05063322,0.001654342,0.01354211,0.01820209,0.04479302,0.01858626,23.64271
300,-41.297,-28.63004,0.682385,0.1188732,0.716451,0.04370594,0.02620151,0.0148032,0.07229513,0.02408812,0.04025082,18.43697
400,-37.642,-23.55245,0.8731551,0.1993204,0.3068727,0.06385395,0.02694635,0.0186561,0.04995389,0.009238207,0.01418921,19.20123
500,-55.94821,-41.95963,0.7891852,0.1602337,0.1225092,0.04749682,0.0539624,0.01923122,0.002848078,0.05768314,0.01945442,16.60336
600,-43.08772,-30.30004,1.497751,0.06161787,1.35795,0.01256014,0.03960318,0.009768576,0.06442026,0.004712006,0.01981134,25.16234
700,-45.22074,-35.42441,0.4016416,0.07164999,0.6969272,0.05176182,0.124128,0.0405065,0.08922279,0.005395511,0.01787343,36.72758
800,-33.31834,-18.89227,0.1342018,0.09178894,2.283246,0.02263285,0.0003571811,0.001545646,0.02041086,0.04262499,0.0307987,32.29519
900,-39.74804,-24.00774,0.5924935,0.3325655,0.03447857,0.01284276,0.007090192,0.02869549,0.01003981,0.06455416,0.02727666,44.01029
1000,-43.20403,-36.48309,1.060113,0.1909633,3.071192,0.03046834,0.1257705,0.01357448,0.07811529,0.01082699,0.01753508,55.2245
1100,-45.01623,-36.17918,0.1924259,0.1288516,2.754076,0.07289399,0.07250655,0.006373981,0.09024192,0.02318774,0.003379027,42.50131
1200,-49.9715,-39.26983,0.6327095,0.3397743,2.484348,0.0336361,0.01367465,0.01182828,0.03284341,0.04572307,0.05360627,32.64445
1300,-36.50767,-27.06892,1.066401,0.5895721,2.3893,0.01573556,0.01213874,0.05553464,0.04758885,0.06932785,0.003001381,29.79365
1400,-31.35224,-19.84937,0.9822339,0.3401307,1.810721,0.008629603,0.07561214,0.0001379649,0.04570492,0.003877587,0.04736693,28.16756
1500,-33.34641,-18.89517,0.486423,0.2548092,0.436494,0.05239702,0.06471586,0.005693519,0.02231682,0.01702969,0.01881985,25.70085
1600,-66.79268,-57.77639,1.967669,0.986006,0.1090664,0.0295668,0.02459189,0.00142749,0.1852447,0.01688201,0.005789161,23.5563
1700,-41.69587,-27.64982,0.3026422,0.3691991,0.3802718,0.05953964,0.02601915,0.004900319,0.05049525,0.0120802,0.04676321,22.2756
1800,-31.72051,-16.64927,0.8828501,0.3769763,0.8822771,0.06978808,0.01716715,0.001439157,0.009324946,0.0002157521,0.01746494,20.16183
1900,-51.65459,-38.09601,0.2341361,0.1702068,1.888833,0.02695508,0.0202603,0.0175619,0.03304396,0.01377234,0.04456349,18.26058
2000,-52.95522,-40.84509,0.3259739,0.4708799,0.3020091,0.1069878,0.04185737,0.01980255,0.03511659,0.04228065,0.01289448,19.19746
2100,-47.78682,-32.57267,0.1997719,0.6989443,0.2593223,0.04810694,0.03001783,0.01263639,0.02807617,0.03229521,0.006593537,16.62481
2200,-53.38154,-41.14325,0.5137833,0.3110044,0.3431067,0.07744582,0.007563461,0.03203043,0.05235428,0.0162902,0.06590581,15.10525
2300,-38.59125,-26.76604,0.3652782,0.1069288,2.51216,0.04558982,0.07292001,0.002872566,0.04390993,0.0075364,0.005363845,16.75231
2400,-44.45841,-32.82983,0.9788935,0.3433191,0.8451776,0.04937469,0.05223094,0.008425387,0.02975914,0.01081971,0.07271625,14.67337
2500,-42.34698,-28.76149,0.3483581,0.04172206,0.4950245,0.0562566,0.009399395,0.06459766,0.04531264,0.02200756,0.02477578,18.36611
2600,-41.71029,-29.462,1.30599,0.070003,0.7713964,0.04073353,0.07895901,0.03198721,0.01972836,0.01602887,0.01719706,22.82141
2700,-37.14238,-20.43916,0.4731006,0.1214224,0.7260779,0.03440865,0.02242592,0.003337301,0.01301019,0.01090738,0.01869373,24.11241
2800,-29.31309,-12.52693,0.5519728,0.4081967,0.649648,0.02382716,0.02340894,0.00576682,0.01487964,0.001800203,0.01669983,24.6536
